,Participant,Condition,TrialId,Score,ExpectedScore,NumClicks,TestEnv,HighRiskClicks,GoalStrategy,ClickAgreement,GoalAgreement,SubgoalAgreement,TermAgreement,GoalTermAgreement,SubgoalTermAgreement
0,1,0,1,-135,-120.0,20,1,4,False,0.047619047619047616,0.0,0.25,0.5263157894736842,0.75,0.75
1,1,0,2,15,-150.0,3,2,0,False,0.25,1.0,0.0,0.75,0.0,0.5
2,1,0,3,70,75.0,4,3,1,False,0.2,0.0,0.3333333333333333,0.6666666666666666,1.0,1.0
3,1,0,4,50,50.0,4,4,1,True,0.6,1.0,0.3333333333333333,0.75,1.0,0.75
4,1,0,5,-10,-5.0,3,5,1,True,0.5,1.0,0.5,0.75,0.0,0.5
10,5,1,1,-65,-25.0,10,1,4,True,0.36363636363636365,0.75,0.6666666666666666,0.5833333333333334,1.0,0.8333333333333334
11,5,1,2,65,60.0,4,2,1,True,1.0,1.0,1.0,1.0,1.0,1.0
12,5,1,3,80,70.0,3,3,1,True,0.75,0.5,1.0,1.0,0.5,1.0
13,5,1,4,45,50.0,5,4,1,True,0.5,0.25,1.0,1.0,0.25,1.0
14,5,1,5,-10,-175.0,5,5,1,True,0.5,0.5,1.0,0.8333333333333334,0.6666666666666666,1.0
20,7,1,1,25,25.0,5,1,1,True,0.8333333333333334,0.75,1.0,1.0,0.75,1.0
21,7,1,2,55,60.0,5,2,1,True,0.8333333333333334,1.0,0.5,0.75,1.0,0.5
22,7,1,3,-1495,-1485.0,6,3,2,True,0.7142857142857143,1.0,0.5,0.6666666666666666,1.0,0.5
23,7,1,4,50,35.0,4,4,1,True,0.6,1.0,0.3333333333333333,0.6666666666666666,1.0,0.3333333333333333
24,7,1,5,-10,-45.0,7,5,3,True,0.75,0.75,1.0,0.75,0.8333333333333333,1.0
25,9,1,1,0,5.0,7,1,1,False,0.375,0.25,0.3333333333333333,0.75,0.25,0.25
26,9,1,2,25,25.0,7,2,1,True,0.375,1.0,0.16666666666666666,0.5833333333333334,1.0,0.16666666666666666
27,9,1,3,-1540,-1515.0,9,3,2,True,0.5,1.0,0.2857142857142857,0.5833333333333334,1.0,0.2857142857142857
28,9,1,4,40,40.0,7,4,1,True,0.375,1.0,0.16666666666666666,0.5833333333333334,1.0,0.16666666666666666
29,9,1,5,-85,-85.0,13,5,2,True,0.35714285714285715,0.75,0.2222222222222222,0.5625,0.75,0.2222222222222222
30,10,1,1,10,15.0,6,1,3,False,0.2857142857142857,0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,1.0
31,10,1,2,35,-80.0,3,2,0,False,0.75,1.0,,0.75,1.0,
32,10,1,3,80,-60.0,1,3,0,False,0.5,1.0,,0.5,1.0,
33,10,1,4,90,-60.0,1,4,0,False,0.5,1.0,,0.5,1.0,
34,10,1,5,-1440,-105.0,3,5,0,False,0.75,1.0,,0.75,1.0,
35,11,0,1,-1510,-155.0,3,1,1,False,0.75,1.0,1.0,1.0,0.5,1.0
36,11,0,2,80,20.0,3,2,3,False,0.25,,1.0,0.75,,1.0
37,11,0,3,-1485,-135.0,1,3,0,False,0.5,1.0,,0.5,0.0,
38,11,0,4,45,45.0,3,4,2,False,0.25,0.0,1.0,0.6666666666666666,1.0,1.0
39,11,0,5,-10,-45.0,7,5,4,False,0.375,0.6666666666666666,1.0,0.625,0.75,1.0
40,12,1,1,-10,-160.0,8,1,0,True,0.3333333333333333,0.75,0.0,0.8888888888888888,0.75,0.75
41,12,1,2,30,50.0,5,2,1,False,0.6666666666666666,0.5,1.0,1.0,0.6666666666666666,1.0
42,12,1,3,65,-90.0,4,3,0,True,0.2,1.0,0.0,0.8,1.0,0.6666666666666666
43,12,1,4,40,-105.0,3,4,0,False,0.25,0.3333333333333333,,0.75,0.3333333333333333,
44,12,1,5,-1440,-95.0,2,5,0,False,0.6666666666666666,1.0,,0.6666666666666666,1.0,
45,15,0,1,-15,-20.0,9,1,1,True,0.3,0.3333333333333333,0.16666666666666666,1.0,0.3333333333333333,1.0
46,15,0,2,50,-90.0,5,2,0,True,0.16666666666666666,0.5,0.0,0.8333333333333334,0.5,0.6666666666666666
47,15,0,3,45,-110.0,6,3,0,True,0.14285714285714285,0.5,0.0,0.8571428571428571,0.5,0.75
48,15,0,4,60,-90.0,6,4,0,True,0.14285714285714285,0.3333333333333333,0.0,0.8571428571428571,0.3333333333333333,0.6666666666666666
49,15,0,5,-1500,-145.0,8,5,0,True,0.2222222222222222,0.5,0.0,0.8888888888888888,0.6666666666666666,0.75
50,16,0,1,-30,-130.0,3,1,0,False,0.75,1.0,,0.75,1.0,
51,16,0,2,60,-90.0,5,2,0,True,0.16666666666666666,1.0,0.0,0.8333333333333334,1.0,0.75
52,16,0,3,35,-100.0,6,3,0,True,0.14285714285714285,0.5,0.0,0.8571428571428571,0.5,0.75
53,16,0,4,75,-95.0,2,4,0,False,0.3333333333333333,0.5,,0.6666666666666666,0.5,
54,16,0,5,-1490,-125.0,7,5,0,True,0.375,0.75,0.0,0.875,0.75,0.6666666666666666
60,20,1,1,-5,15.0,6,1,1,True,0.7142857142857143,0.75,0.5,1.0,0.5,0.5
61,20,1,2,70,80.0,2,2,1,True,1.0,1.0,1.0,1.0,1.0,1.0
62,20,1,3,65,70.0,3,3,1,True,0.75,0.5,1.0,1.0,0.5,1.0
63,20,1,4,50,35.0,4,4,2,False,0.4,0.5,1.0,0.75,0.5,1.0
64,20,1,5,-30,-175.0,5,5,1,True,0.6666666666666666,0.75,1.0,0.8333333333333334,0.75,1.0
65,21,0,1,-1705,-1705.0,26,1,2,False,0.037037037037037035,0.0,0.08,0.6,0.0,0.59375
66,21,0,2,-255,-255.0,30,2,2,False,0.03225806451612903,0.0,0.07142857142857142,0.5217391304347826,1.0,0.6041666666666666
67,21,0,3,-1705,-355.0,23,3,0,False,0.041666666666666664,0.3333333333333333,0.0,0.9583333333333334,0.3333333333333333,0.85
68,21,0,4,-15,-15.0,13,4,1,False,0.21428571428571427,0.25,0.1111111111111111,0.5625,0.25,0.0625
69,21,0,5,-85,-85.0,14,5,2,False,0.3333333333333333,0.75,0.2,0.5625,0.75,0.1111111111111111
70,22,1,1,-245,-245.0,30,1,4,False,0.06451612903225806,0.25,0.15384615384615385,0.5185185185185185,0.25,0.4855072463768116
71,22,1,2,-155,-155.0,26,2,4,True,0.07407407407407407,0.25,0.18181818181818182,0.52,0.5,0.6428571428571428
72,22,1,3,-115,-115.0,22,3,4,False,0.043478260869565216,0.0,0.19047619047619047,0.5238095238095238,1.0,0.6190476190476191
73,22,1,4,-25,-20.0,12,4,4,False,0.15384615384615385,0.25,0.5,0.5833333333333334,0.25,0.875
74,22,1,5,-200,-200.0,24,5,4,False,0.08,0.3333333333333333,0.19047619047619047,0.5555555555555556,0.3333333333333333,0.3611111111111111
75,23,1,1,10,20.0,6,1,1,True,0.7142857142857143,1.0,0.3333333333333333,0.75,1.0,0.75
76,23,1,2,25,-135.0,7,2,0,True,0.375,1.0,0.0,0.875,1.0,0.75
77,23,1,3,40,-90.0,4,3,0,False,0.2,0.25,,0.8,0.25,
78,23,1,4,50,-90.0,4,4,0,False,0.2,0.25,,0.8,0.25,
79,23,1,5,0,-165.0,4,5,0,False,0.4,0.5,,0.8,0.6666666666666666,
80,26,0,1,-10,-135.0,6,1,0,True,0.42857142857142855,0.75,0.0,0.8571428571428571,0.75,0.5
81,26,0,2,-1520,-150.0,4,2,0,False,0.2,1.0,0.0,0.8,0.0,0.6666666666666666
82,26,0,3,35,5.0,5,3,1,False,0.16666666666666666,,0.2,0.6666666666666666,,0.6666666666666666
83,26,0,4,-15,-155.0,8,4,2,False,0.1111111111111111,0.0,0.2857142857142857,0.625,1.0,0.4583333333333333
84,26,0,5,-1465,-150.0,5,5,0,False,0.0,,0.0,0.8333333333333334,,0.2
85,27,1,1,30,35.0,4,1,1,True,0.6,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0
86,27,1,2,65,-80.0,3,2,0,False,0.75,1.0,,0.75,1.0,
87,27,1,3,70,60.0,4,3,2,True,1.0,1.0,1.0,1.0,1.0,1.0
88,27,1,4,40,15.0,6,4,3,False,0.42857142857142855,0.3333333333333333,1.0,0.625,0.6666666666666666,1.0
89,27,1,5,-75,-55.0,8,5,4,True,0.5555555555555556,0.75,1.0,0.6666666666666666,0.75,1.0
90,28,1,1,-40,-15.0,9,1,4,False,0.1,0.0,0.8,0.5555555555555556,0.75,1.0
91,28,1,2,-25,-15.0,13,2,3,False,0.14285714285714285,0.3333333333333333,0.3,0.5555555555555556,0.75,0.6666666666666666
92,28,1,3,60,75.0,3,3,1,True,0.75,1.0,0.5,0.75,1.0,0.5
93,28,1,4,60,-80.0,3,4,0,False,0.25,0.5,0.0,0.75,0.5,0.0
94,28,1,5,-20,-35.0,6,5,2,True,0.7142857142857143,0.75,1.0,1.0,0.75,1.0
95,30,0,1,-1440,-100.0,0,1,0,False,0.0,,,0.0,,
96,30,0,2,-25,-230.0,13,2,3,False,0.14285714285714285,0.3333333333333333,0.3,0.625,0.5,0.5833333333333333
97,30,0,3,60,60.0,4,3,2,True,0.4,0.5,1.0,0.75,0.5,1.0
98,30,0,4,20,25.0,5,4,2,False,0.16666666666666666,0.0,0.6666666666666666,0.6,0.5,0.6666666666666666
99,30,0,5,-50,-45.0,7,5,2,False,0.375,0.5,0.4,0.625,1.0,0.375
100,31,1,1,20,-115.0,4,1,0,False,0.6,0.75,,0.8,0.75,
101,31,1,2,55,50.0,5,2,2,True,0.5,1.0,0.5,1.0,1.0,0.75
102,31,1,3,-1455,-85.0,2,3,0,True,0.3333333333333333,1.0,0.0,0.6666666666666666,1.0,0.0
103,31,1,4,95,-120.0,2,4,1,True,1.0,1.0,1.0,1.0,1.0,1.0
104,31,1,5,-50,-55.0,8,5,4,True,0.5555555555555556,0.75,1.0,0.625,1.0,1.0
105,32,1,1,-65,-55.0,14,1,1,True,0.2,0.25,0.1,0.5384615384615384,0.5,0.2
106,32,1,2,65,70.0,3,2,1,True,0.75,1.0,0.5,0.75,1.0,0.5
107,32,1,3,-45,-45.0,15,3,2,True,0.3125,1.0,0.15384615384615385,0.5416666666666666,1.0,0.15384615384615385
108,32,1,4,55,55.0,2,4,1,True,1.0,1.0,1.0,1.0,1.0,1.0
109,32,1,5,-60,-55.0,8,5,4,True,0.5555555555555556,0.75,1.0,0.6666666666666666,0.75,1.0
110,34,1,1,5,25.0,5,1,1,True,0.8333333333333334,0.75,1.0,1.0,0.75,1.0
111,34,1,2,65,60.0,4,2,1,True,1.0,1.0,1.0,1.0,1.0,1.0
112,34,1,3,65,80.0,2,3,1,True,1.0,1.0,1.0,1.0,1.0,1.0
113,34,1,4,50,55.0,2,4,1,True,1.0,1.0,1.0,1.0,1.0,1.0
114,34,1,5,-40,-45.0,7,5,3,True,0.75,0.75,1.0,0.6666666666666666,1.0,1.0
120,37,0,1,-30,-180.0,8,1,3,False,0.1111111111111111,,0.375,0.5714285714285714,,0.5666666666666667
121,37,0,2,15,-30.0,9,2,4,False,0.0,,0.4444444444444444,0.4166666666666667,,0.65
122,37,0,3,55,50.0,5,3,3,False,0.16666666666666666,0.0,0.75,0.625,1.0,0.5
123,37,0,4,45,50.0,5,4,4,False,0.3333333333333333,1.0,1.0,0.6666666666666666,1.0,1.0
124,37,0,5,-75,-55.0,8,5,4,True,0.4444444444444444,0.5,1.0,0.6666666666666666,0.6666666666666666,1.0
125,38,0,1,-60,-55.0,7,1,1,False,0.125,0.0,0.16666666666666666,0.625,1.0,0.5
126,38,0,2,-70,-80.0,12,2,2,False,0.07692307692307693,0.0,0.18181818181818182,0.5625,1.0,0.625
127,38,0,3,-120,-115.0,22,3,1,False,0.043478260869565216,0.0,0.047619047619047616,0.5714285714285714,1.0,0.5333333333333333
128,38,0,4,-150,-150.0,26,4,4,False,0.037037037037037035,0.0,0.16,0.5384615384615384,1.0,0.6111111111111112
129,38,0,5,-230,-230.0,29,5,3,False,0.03333333333333333,0.0,0.10714285714285714,0.5185185185185185,1.0,0.5833333333333334
130,39,0,1,5,40.0,1,1,1,False,0.5,,1.0,1.0,,1.0
131,39,0,2,30,40.0,1,2,1,False,0.5,,1.0,1.0,,1.0
132,39,0,3,85,40.0,1,3,1,False,0.5,,1.0,1.0,,1.0
133,39,0,4,90,40.0,1,4,1,False,0.5,,1.0,1.0,,1.0
134,39,0,5,5,-100.0,0,5,0,False,0.0,,,0.0,,
140,42,1,1,20,25.0,5,1,1,True,0.5,0.25,1.0,1.0,0.25,1.0
141,42,1,2,15,20.0,8,2,2,True,0.3333333333333333,0.25,0.5,0.625,0.25,0.75
142,42,1,3,-1510,-135.0,6,3,2,True,0.42857142857142855,0.25,1.0,0.75,0.25,1.0
143,42,1,4,45,50.0,5,4,1,True,0.5,0.25,1.0,1.0,0.25,1.0
144,42,1,5,-20,-35.0,6,5,2,True,0.7142857142857143,0.75,1.0,1.0,0.75,1.0
145,43,0,1,-55,-45.0,12,1,1,True,0.3076923076923077,0.5,0.125,0.6,0.6666666666666666,0.6
146,43,0,2,35,-115.0,7,2,0,True,0.375,1.0,0.0,0.875,1.0,0.75
147,43,0,3,35,-115.0,7,3,0,True,0.125,1.0,0.0,0.875,1.0,0.8333333333333334
148,43,0,4,20,-130.0,7,4,0,True,0.125,1.0,0.0,0.875,1.0,0.8333333333333334
149,43,0,5,-1490,-165.0,8,5,0,False,0.3333333333333333,1.0,0.0,0.8888888888888888,1.0,0.8
155,45,1,1,40,45.0,3,1,1,True,0.75,1.0,0.5,0.75,1.0,0.5
156,45,1,2,65,70.0,3,2,1,True,0.75,1.0,0.5,0.75,1.0,0.5
157,45,1,3,60,50.0,5,3,2,True,0.8333333333333334,1.0,0.6666666666666666,0.75,1.0,0.6666666666666666
158,45,1,4,70,45.0,3,4,1,True,0.75,1.0,0.5,0.75,1.0,0.5
159,45,1,5,-30,-45.0,7,5,2,True,0.625,0.75,0.6666666666666666,0.75,0.75,0.6666666666666666
160,46,1,1,15,-135.0,6,1,0,True,0.42857142857142855,0.75,0.0,0.8571428571428571,0.5,0.0
161,46,1,2,65,-80.0,3,2,0,False,0.75,1.0,,0.75,1.0,
162,46,1,3,80,-60.0,1,3,0,False,0.5,1.0,,0.5,1.0,
163,46,1,4,95,-60.0,1,4,0,False,0.5,1.0,,0.5,1.0,
164,46,1,5,-1455,-115.0,4,5,0,False,0.6,0.75,,0.8,0.75,
165,48,1,1,45,-105.0,3,1,0,False,0.25,0.3333333333333333,,0.75,0.3333333333333333,
166,48,1,2,85,-70.0,2,2,0,False,0.6666666666666666,1.0,,0.6666666666666666,1.0,
167,48,1,3,75,-60.0,1,3,0,False,0.5,1.0,,0.5,1.0,
168,48,1,4,70,-80.0,3,4,0,False,0.25,0.3333333333333333,,0.75,0.3333333333333333,
169,48,1,5,-1470,-115.0,4,5,0,False,0.4,0.5,,0.8,0.6666666666666666,
170,49,0,1,65,-110.0,1,1,0,False,0.0,,0.0,0.5,,0.0
171,49,0,2,0,10.0,4,2,4,False,0.0,,1.0,0.25,,1.0
172,49,0,3,65,30.0,2,3,1,False,0.3333333333333333,,0.5,1.0,,1.0
173,49,0,4,50,30.0,2,4,1,False,0.3333333333333333,,0.5,1.0,,1.0
174,49,0,5,-5,-5.0,3,5,1,False,0.75,1.0,1.0,1.0,0.5,1.0
180,51,1,1,50,55.0,2,1,1,True,1.0,1.0,1.0,1.0,1.0,1.0
181,51,1,2,75,80.0,2,2,1,True,1.0,1.0,1.0,1.0,1.0,1.0
182,51,1,3,70,60.0,4,3,2,True,1.0,1.0,1.0,1.0,1.0,1.0
183,51,1,4,80,55.0,2,4,1,True,1.0,1.0,1.0,1.0,1.0,1.0
184,51,1,5,-30,-45.0,7,5,3,True,0.625,0.75,1.0,0.75,0.75,1.0
185,53,1,1,60,-110.0,1,1,0,False,0.0,,0.0,0.5,,0.0
186,53,1,2,-1520,-110.0,1,2,0,False,0.0,,0.0,0.5,,0.0
187,53,1,3,-1440,-110.0,1,3,0,False,0.0,,0.0,0.5,,0.0
188,53,1,4,90,-100.0,0,4,0,False,0.0,,,0.0,,
189,53,1,5,40,-100.0,0,5,0,False,0.0,,,0.0,,
190,54,0,1,-25,-140.0,4,1,1,False,0.2,,0.25,0.625,,0.16666666666666666
191,54,0,2,-1505,-110.0,1,2,1,False,0.5,,1.0,1.0,,1.0
192,54,0,3,-1505,-125.0,3,3,0,False,0.0,,0.0,0.75,,0.6666666666666666
193,54,0,4,75,-100.0,0,4,0,False,0.0,,,0.0,,
194,54,0,5,-10,-100.0,0,5,0,False,0.0,,,0.0,,
195,55,0,1,10,-115.0,4,1,0,False,0.6,1.0,0.0,0.8,1.0,0.0
196,55,0,2,55,-90.0,4,2,0,False,0.2,1.0,0.0,0.8,1.0,0.0
197,55,0,3,50,-90.0,5,3,0,True,0.3333333333333333,1.0,0.0,0.8333333333333334,1.0,0.6666666666666666
198,55,0,4,50,-100.0,7,4,0,True,0.125,0.5,0.0,0.875,0.5,0.8
199,55,0,5,-1475,-125.0,7,5,0,True,0.125,0.25,0.0,0.875,0.25,0.6666666666666666
200,56,0,1,-1465,-145.0,2,1,0,False,0.6666666666666666,1.0,,0.6666666666666666,0.5,
201,56,0,2,5,10.0,4,2,2,True,0.4,1.0,0.6666666666666666,0.75,0.0,0.6666666666666666
202,56,0,3,65,20.0,3,3,2,False,0.25,,0.6666666666666666,1.0,,1.0
203,56,0,4,50,30.0,2,4,1,False,0.3333333333333333,,0.5,0.75,,0.5
204,56,0,5,-20,30.0,2,5,1,False,0.3333333333333333,,0.5,1.0,,1.0
205,57,1,1,-1485,-160.0,4,1,0,True,0.6,1.0,0.0,0.8,1.0,0.0
206,57,1,2,35,30.0,7,2,3,False,0.125,0.0,0.75,0.5714285714285714,0.6666666666666666,1.0
207,57,1,3,20,35.0,8,3,2,True,0.3333333333333333,0.5,0.3333333333333333,0.5714285714285714,1.0,0.8333333333333334
208,57,1,4,55,45.0,6,4,1,True,0.42857142857142855,0.3333333333333333,0.3333333333333333,0.75,0.3333333333333333,0.75
209,57,1,5,-1465,-105.0,3,5,0,False,0.75,1.0,,0.75,1.0,
215,59,1,1,-45,-60.0,6,1,2,True,0.42857142857142855,1.0,0.5,0.75,0.5,0.5
216,59,1,2,-25,-20.0,12,2,4,True,0.23076923076923078,0.25,0.5,0.5625,0.25,0.7857142857142857
217,59,1,3,40,40.0,6,3,3,True,0.7142857142857143,0.6666666666666666,1.0,1.0,0.5,1.0
218,59,1,4,45,45.0,3,4,1,True,0.75,1.0,0.5,0.75,1.0,0.5
219,59,1,5,-25,-5.0,3,5,1,True,0.5,1.0,0.5,0.75,0.0,0.5
220,60,0,1,-1545,-180.0,8,1,0,False,0.0,,0.0,0.8888888888888888,,0.5
221,60,0,2,-50,-50.0,10,2,4,False,0.0,,0.4,0.4444444444444444,,0.8
222,60,0,3,-30,-30.0,14,3,4,False,0.06666666666666667,0.0,0.3333333333333333,0.5357142857142857,0.5,0.8333333333333334
223,60,0,4,-30,-30.0,12,4,3,False,0.15384615384615385,0.3333333333333333,0.3333333333333333,0.55,0.3333333333333333,0.8888888888888888
224,60,0,5,-75,-70.0,11,5,4,False,0.08333333333333333,0.0,0.5,0.5454545454545454,0.3333333333333333,0.875
225,62,1,1,-10,0.0,5,1,2,True,0.6666666666666666,0.6666666666666666,1.0,0.75,0.75,1.0
226,62,1,2,85,80.0,2,2,1,True,1.0,1.0,1.0,1.0,1.0,1.0
227,62,1,3,45,40.0,6,3,2,True,0.5714285714285714,0.5,1.0,0.6666666666666666,0.3333333333333333,1.0
228,62,1,4,70,55.0,2,4,1,True,1.0,1.0,1.0,1.0,1.0,1.0
229,62,1,5,-20,-35.0,6,5,2,True,0.2857142857142857,0.25,1.0,0.6,0.3333333333333333,1.0
230,63,0,1,-1490,-130.0,5,1,0,False,0.0,,0.0,0.8333333333333334,,0.2
231,63,0,2,-1520,-125.0,3,2,1,False,0.25,,0.3333333333333333,0.6666666666666666,,0.75
232,63,0,3,35,-15.0,7,3,2,False,0.125,,0.2857142857142857,0.5833333333333334,,0.7083333333333333
